task_id,task_name,assigned_to,department,priority,status,created_date,due_date,estimated_hours,actual_hours,tags
535,Enhance security for API,Carol,Backend,High,Pending,30-09-2025,06-10-2025,15,,testing
536,Implement search functionality,Frank,Mobile,Medium,In Progress,02-07-2025,05-07-2025,3,,db
537,Update mobile app UI,Alice,Mobile,Medium,Pending,25-06-2025,14-07-2025,10,,db
538,Implement search functionality,Alice,Frontend,Medium,Completed,11-10-2025,20-10-2025,11,5,"dashboard, db"
539,Write unit tests for backend,Bob,Data,Medium,Completed,27-08-2025,14-09-2025,10,7,backend
540,Create marketing landing page,Alice,QA,High,Completed,10-07-2025,31-07-2025,16,10,"design, db"
541,Setup project database,Bob,UI/UX,High,In Progress,17-07-2025,07-08-2025,16,,"optimization, frontend, backend"
542,Improve page load performance,Hannah,Data,High,Pending,28-08-2025,18-09-2025,1,,api
543,Create marketing landing page,Alice,DevOps,Medium,In Progress,25-06-2025,03-07-2025,7,,backend
544,Conduct code review,David,Mobile,Low,In Progress,12-06-2025,23-06-2025,6,,"feedback, deployment"
545,Prepare deployment scripts,Hannah,DevOps,High,In Progress,02-05-2025,06-05-2025,12,,integration
546,Improve page load performance,Carol,QA,Medium,In Progress,12-07-2025,21-07-2025,3,,"frontend, testing"
547,Deploy application to staging,David,DevOps,Low,Pending,03-09-2025,16-09-2025,9,,testing
548,Setup project database,Grace,Frontend,Medium,Pending,10-08-2025,14-08-2025,13,,"frontend, optimization, payment"
549,Create marketing landing page,Hannah,Data,Medium,Pending,26-06-2025,04-07-2025,7,,"testing, dashboard, setup"
550,Analyze user activity data,Frank,UI/UX,High,Completed,06-10-2025,25-10-2025,12,4,"api, dashboard"
551,Deploy application to staging,Frank,DevOps,Low,Pending,22-06-2025,01-07-2025,16,,"integration, optimization"
552,Setup CI/CD pipeline,Bob,Frontend,Low,Completed,01-07-2025,13-07-2025,10,3,"backend, payment, alert"
553,Design login page,Alice,Data,Medium,Pending,08-06-2025,11-06-2025,11,,"payment, backend"
554,Implement user authentication API,David,QA,Low,Pending,13-05-2025,19-05-2025,2,,"optimization, api"
555,Fix bug in login module,Carol,Data,Medium,Completed,25-09-2025,04-10-2025,14,11,"backend, api"
556,Implement search functionality,Bob,QA,High,Pending,13-06-2025,18-06-2025,9,,dashboard
557,Fix bug in login module,Hannah,Frontend,Low,In Progress,02-05-2025,04-05-2025,8,,"integration, db"
558,Improve page load performance,Hannah,Mobile,High,In Progress,21-09-2025,12-10-2025,8,,optimization
559,Update mobile app UI,Grace,UI/UX,Low,In Progress,21-05-2025,24-05-2025,8,,"testing, feedback, optimization"
560,Design login page,Alice,QA,Medium,Pending,10-10-2025,21-10-2025,4,,"api, optimization, frontend"
561,Setup project database,Eve,UI/UX,High,In Progress,14-05-2025,20-05-2025,16,,"alert, frontend"
562,Create dashboard UI,Frank,QA,Medium,Pending,19-06-2025,21-06-2025,10,,"dashboard, setup"
563,Analyze user activity data,Carol,DevOps,Medium,In Progress,02-08-2025,19-08-2025,16,,"optimization, design"
564,Update mobile app UI,Grace,UI/UX,Low,Pending,22-08-2025,10-09-2025,6,,"frontend, db, optimization"
565,Create dashboard UI,Eve,Mobile,Low,In Progress,23-08-2025,26-08-2025,3,,"alert, backend, testing"
566,Improve page load performance,Hannah,UI/UX,Medium,Pending,20-05-2025,06-06-2025,10,,setup
567,Analyze user activity data,Eve,Data,Medium,In Progress,24-04-2025,28-04-2025,4,,frontend
568,Develop notification system,Grace,Backend,High,In Progress,10-08-2025,21-08-2025,16,,"design, integration"
569,Create marketing landing page,David,Frontend,Medium,In Progress,16-06-2025,18-06-2025,8,,"backend, design, optimization"
570,Deploy application to staging,David,Data,Low,Pending,24-06-2025,25-06-2025,4,,"feedback, setup, backend"
571,Write unit tests for backend,Alice,DevOps,Medium,Pending,28-05-2025,13-06-2025,5,,"db, api, frontend"
572,Setup CI/CD pipeline,Hannah,Backend,High,Pending,18-08-2025,26-08-2025,14,,"deployment, setup, frontend"
573,Deploy application to staging,Eve,DevOps,Medium,Pending,12-07-2025,14-07-2025,12,,db
574,Conduct code review,Frank,UI/UX,Medium,Pending,18-07-2025,05-08-2025,2,,"integration, testing"
575,Update mobile app UI,Bob,Frontend,Medium,In Progress,25-04-2025,16-05-2025,5,,"dashboard, api, optimization"
576,Write unit tests for backend,Eve,Data,Medium,Pending,21-05-2025,05-06-2025,3,,payment
577,Implement user authentication API,Carol,Backend,High,Pending,19-07-2025,24-07-2025,11,,"design, optimization"
578,Improve page load performance,Eve,Mobile,High,Pending,02-09-2025,12-09-2025,10,,optimization
579,Update mobile app UI,Hannah,Frontend,Medium,In Progress,16-07-2025,01-08-2025,8,,"feedback, alert, setup"
580,Deploy application to staging,Grace,QA,Low,Pending,06-09-2025,25-09-2025,5,,"feedback, dashboard"
581,Fix bug in login module,Bob,Mobile,Medium,In Progress,09-10-2025,25-10-2025,16,,feedback
582,Implement user authentication API,Carol,UI/UX,Low,In Progress,06-08-2025,16-08-2025,5,,"feedback, payment, frontend"
583,Design login page,Carol,Backend,Medium,In Progress,11-10-2025,30-10-2025,11,,api
584,Fix bug in login module,Eve,UI/UX,High,Pending,12-10-2025,18-10-2025,16,,"integration, backend, frontend"
585,Conduct code review,Frank,QA,High,In Progress,24-04-2025,12-05-2025,12,,"api, payment, testing"
586,Deploy application to staging,Alice,Backend,Medium,In Progress,07-09-2025,17-09-2025,2,,"dashboard, backend, feedback"
587,Create marketing landing page,Hannah,Data,Medium,In Progress,11-08-2025,26-08-2025,12,,optimization
588,Implement user authentication API,Grace,Mobile,Medium,Pending,16-04-2025,23-04-2025,12,,"setup, backend"
589,Integrate payment gateway,Eve,Data,Low,In Progress,21-06-2025,05-07-2025,8,,"backend, feedback"
590,Collect user feedback,Frank,QA,Low,In Progress,06-07-2025,09-07-2025,14,,"testing, dashboard, alert"
591,Update mobile app UI,Frank,Data,Medium,Pending,27-05-2025,29-05-2025,16,,"api, db, integration"
592,Write unit tests for backend,Grace,Mobile,Low,Completed,25-04-2025,04-05-2025,2,1,"deployment, alert"
593,Collect user feedback,Alice,DevOps,Medium,In Progress,31-07-2025,20-08-2025,12,,"testing, dashboard, integration"
594,Fix bug in login module,Grace,Data,Medium,In Progress,16-09-2025,17-09-2025,13,,"optimization, design, db"
595,Create dashboard UI,Frank,Backend,High,In Progress,06-10-2025,23-10-2025,1,,"api, alert, optimization"
596,Improve page load performance,David,Frontend,Medium,Pending,22-09-2025,02-10-2025,5,,"backend, integration, deployment"
597,Setup project database,Frank,Backend,Medium,Pending,10-05-2025,22-05-2025,15,,backend
598,Fix bug in login module,David,Data,Medium,Pending,20-04-2025,29-04-2025,8,,dashboard
599,Enhance security for API,Carol,UI/UX,Medium,In Progress,07-10-2025,13-10-2025,6,,"payment, frontend"
600,Deploy application to staging,Carol,Backend,Medium,In Progress,25-08-2025,26-08-2025,7,,"payment, design, optimization"
601,Write unit tests for backend,Carol,Frontend,High,Completed,16-08-2025,04-09-2025,2,1,"integration, backend, setup"
602,Create marketing landing page,Hannah,Frontend,Medium,Pending,22-04-2025,25-04-2025,12,,"api, feedback"
603,Create marketing landing page,Eve,QA,Medium,In Progress,13-06-2025,27-06-2025,13,,integration
604,Develop notification system,Bob,DevOps,Medium,Pending,11-10-2025,26-10-2025,15,,"integration, design"
605,Analyze user activity data,Grace,QA,Medium,Pending,01-08-2025,05-08-2025,6,,"setup, payment"
606,Create dashboard UI,Bob,Data,Medium,Completed,08-07-2025,24-07-2025,1,1,"api, testing, alert"
607,Integrate payment gateway,Bob,UI/UX,Low,In Progress,13-07-2025,01-08-2025,13,,"db, backend"
608,Prepare deployment scripts,David,Data,Medium,Completed,24-09-2025,02-10-2025,16,12,"payment, feedback"
609,Design login page,Hannah,Backend,Medium,In Progress,27-06-2025,17-07-2025,6,,"api, db"
610,Create dashboard UI,Frank,DevOps,Low,Completed,22-08-2025,04-09-2025,10,1,backend
611,Improve page load performance,Bob,Mobile,High,Pending,14-09-2025,28-09-2025,15,,deployment
612,Integrate payment gateway,Eve,Frontend,Medium,In Progress,03-05-2025,22-05-2025,2,,"payment, backend"
613,Integrate payment gateway,Frank,DevOps,Low,Pending,17-07-2025,06-08-2025,3,,db
614,Optimize database queries,Hannah,Mobile,Medium,Pending,13-09-2025,16-09-2025,4,,"deployment, api"
615,Optimize database queries,Frank,QA,High,In Progress,15-09-2025,19-09-2025,7,,testing
616,Optimize database queries,David,QA,Low,In Progress,09-09-2025,15-09-2025,2,,"optimization, frontend"
617,Enhance security for API,Carol,Mobile,Low,Pending,29-05-2025,14-06-2025,7,,"optimization, backend, alert"
618,Setup CI/CD pipeline,Hannah,DevOps,Medium,Pending,30-09-2025,12-10-2025,3,,"dashboard, frontend, backend"
619,Prepare deployment scripts,Eve,UI/UX,Medium,In Progress,26-04-2025,01-05-2025,13,,"setup, payment"
620,Optimize database queries,Hannah,UI/UX,Medium,In Progress,03-06-2025,18-06-2025,11,,payment
621,Design login page,Grace,QA,Medium,In Progress,17-09-2025,05-10-2025,16,,"design, testing"
622,Implement search functionality,Hannah,QA,High,Completed,17-07-2025,20-07-2025,9,1,feedback
623,Optimize database queries,Carol,QA,High,Pending,17-05-2025,26-05-2025,9,,dashboard
624,Deploy application to staging,Hannah,Mobile,Medium,Completed,18-09-2025,06-10-2025,3,3,"optimization, api, dashboard"
625,Design login page,Alice,Data,Medium,Pending,15-09-2025,06-10-2025,7,,"dashboard, feedback"
626,Improve page load performance,Bob,QA,Medium,Pending,03-09-2025,20-09-2025,5,,"frontend, api"
627,Optimize database queries,Alice,Backend,High,In Progress,15-07-2025,27-07-2025,4,,db
628,Create marketing landing page,David,Mobile,Medium,In Progress,17-04-2025,28-04-2025,12,,"payment, deployment"
629,Deploy application to staging,Alice,Mobile,High,Pending,21-09-2025,08-10-2025,8,,dashboard
630,Improve page load performance,Bob,Backend,High,In Progress,18-06-2025,28-06-2025,16,,frontend
631,Implement user authentication API,Eve,QA,Medium,Pending,11-05-2025,23-05-2025,13,,integration
632,Implement user authentication API,Eve,Frontend,Medium,Completed,01-08-2025,11-08-2025,6,6,"testing, setup, frontend"
633,Deploy application to staging,Bob,DevOps,Medium,In Progress,16-07-2025,25-07-2025,13,,"dashboard, payment, testing"
634,Deploy application to staging,Bob,Backend,Medium,Completed,18-08-2025,28-08-2025,13,12,"design, testing, feedback"
635,Create marketing landing page,David,DevOps,Low,Pending,27-08-2025,30-08-2025,10,,optimization
636,Design login page,Bob,Data,High,Completed,29-08-2025,14-09-2025,14,10,"setup, alert, design"
637,Fix bug in login module,Alice,Backend,Medium,In Progress,11-07-2025,20-07-2025,10,,dashboard
638,Fix bug in login module,Eve,QA,Medium,Completed,09-10-2025,15-10-2025,6,6,"alert, integration"
639,Fix bug in login module,Frank,Frontend,Medium,In Progress,07-08-2025,09-08-2025,11,,api
640,Create dashboard UI,Eve,DevOps,Medium,In Progress,03-10-2025,22-10-2025,14,,"deployment, setup, feedback"
641,Design login page,Bob,UI/UX,Medium,Pending,28-09-2025,17-10-2025,12,,dashboard
642,Collect user feedback,Eve,DevOps,High,Pending,17-08-2025,25-08-2025,10,,optimization
643,Develop notification system,Eve,Mobile,Medium,Pending,02-06-2025,06-06-2025,5,,"api, setup, dashboard"
644,Design login page,Grace,Backend,High,In Progress,10-07-2025,24-07-2025,6,,"payment, backend, setup"
645,Collect user feedback,Bob,Data,High,In Progress,07-06-2025,27-06-2025,6,,design
646,Analyze user activity data,Frank,Frontend,Medium,Pending,10-08-2025,26-08-2025,1,,"api, db"
647,Update mobile app UI,Frank,QA,High,In Progress,28-05-2025,06-06-2025,7,,"testing, integration"
648,Implement user authentication API,David,UI/UX,High,Completed,20-08-2025,22-08-2025,11,7,"frontend, integration, testing"
649,Collect user feedback,Bob,Backend,Medium,In Progress,17-05-2025,04-06-2025,16,,"integration, payment, dashboard"
650,Implement search functionality,Bob,UI/UX,Low,Pending,29-07-2025,04-08-2025,9,,"api, deployment, payment"
651,Deploy application to staging,Frank,Data,High,In Progress,13-06-2025,19-06-2025,10,,frontend
652,Improve page load performance,Carol,UI/UX,High,Pending,12-07-2025,02-08-2025,13,,"payment, design"
653,Setup project database,Bob,DevOps,High,In Progress,22-05-2025,26-05-2025,9,,"db, integration, dashboard"
654,Setup CI/CD pipeline,Frank,DevOps,Medium,In Progress,11-07-2025,31-07-2025,2,,"setup, backend, db"
655,Conduct code review,Hannah,Frontend,High,Pending,27-06-2025,18-07-2025,7,,"alert, setup"
656,Collect user feedback,Carol,Frontend,Medium,Completed,27-08-2025,13-09-2025,1,1,setup
657,Write unit tests for backend,Frank,UI/UX,Low,In Progress,02-09-2025,18-09-2025,16,,api
658,Collect user feedback,Frank,UI/UX,Medium,Completed,10-06-2025,23-06-2025,5,5,"setup, payment, frontend"
659,Setup CI/CD pipeline,Carol,DevOps,High,Completed,22-08-2025,10-09-2025,5,1,db
660,Setup CI/CD pipeline,Frank,QA,High,Pending,26-09-2025,13-10-2025,4,,api
661,Write unit tests for backend,Alice,Mobile,Low,In Progress,20-05-2025,04-06-2025,5,,"frontend, api"
662,Create marketing landing page,Hannah,Data,Medium,Completed,06-09-2025,18-09-2025,14,11,"frontend, backend, optimization"
663,Update mobile app UI,Frank,Data,High,Completed,22-06-2025,30-06-2025,2,2,"backend, api"
664,Setup project database,Hannah,Frontend,High,In Progress,26-08-2025,31-08-2025,10,,db
665,Enhance security for API,Hannah,QA,Low,In Progress,12-07-2025,02-08-2025,2,,"alert, optimization, dashboard"
666,Setup CI/CD pipeline,Alice,Backend,Medium,Completed,01-10-2025,21-10-2025,9,3,"integration, api"
667,Integrate payment gateway,David,QA,High,In Progress,04-08-2025,10-08-2025,7,,"deployment, alert, db"
668,Improve page load performance,Carol,Backend,High,Pending,09-10-2025,19-10-2025,7,,"dashboard, db, testing"
669,Setup project database,David,Data,High,In Progress,19-09-2025,04-10-2025,5,,"feedback, testing"
670,Optimize database queries,Grace,Frontend,Low,Pending,07-08-2025,21-08-2025,2,,"alert, optimization, integration"
671,Fix bug in login module,Hannah,Backend,High,Pending,08-08-2025,15-08-2025,15,,"feedback, integration"
672,Create dashboard UI,Bob,DevOps,Medium,Pending,28-07-2025,14-08-2025,6,,integration
673,Setup CI/CD pipeline,David,Data,Medium,In Progress,03-07-2025,14-07-2025,15,,"api, feedback"
674,Implement search functionality,Alice,UI/UX,High,Pending,13-10-2025,03-11-2025,10,,"optimization, backend, design"
675,Improve page load performance,Eve,DevOps,High,In Progress,17-07-2025,03-08-2025,9,,"feedback, deployment"
676,Implement user authentication API,Eve,QA,Low,In Progress,03-10-2025,13-10-2025,13,,"alert, db"
677,Implement search functionality,David,QA,High,In Progress,12-10-2025,22-10-2025,7,,"design, integration, db"
678,Prepare deployment scripts,Eve,QA,Medium,Pending,02-05-2025,08-05-2025,12,,testing
679,Analyze user activity data,Carol,Backend,Medium,In Progress,13-07-2025,26-07-2025,16,,alert
680,Create dashboard UI,Bob,UI/UX,Low,In Progress,21-04-2025,02-05-2025,15,,payment
681,Conduct code review,Eve,Mobile,High,Completed,20-05-2025,21-05-2025,4,2,"backend, testing"
682,Develop notification system,Alice,Mobile,Medium,Pending,16-08-2025,27-08-2025,7,,"feedback, db, frontend"
683,Fix bug in login module,Alice,QA,Medium,Completed,13-09-2025,18-09-2025,16,13,design
684,Implement search functionality,Grace,Frontend,High,In Progress,30-05-2025,20-06-2025,12,,"dashboard, deployment, alert"
685,Prepare deployment scripts,Grace,Mobile,Low,Pending,24-06-2025,02-07-2025,2,,"design, deployment"
686,Deploy application to staging,Alice,UI/UX,Medium,In Progress,02-10-2025,22-10-2025,16,,"integration, db"
687,Integrate payment gateway,Bob,Backend,High,Pending,10-06-2025,26-06-2025,13,,"optimization, alert"
688,Fix bug in login module,Hannah,QA,High,Pending,19-08-2025,03-09-2025,3,,frontend
689,Update mobile app UI,Eve,Mobile,Medium,In Progress,23-09-2025,30-09-2025,13,,api
690,Create dashboard UI,Bob,UI/UX,Medium,Pending,08-07-2025,11-07-2025,9,,"integration, payment, setup"
691,Collect user feedback,Carol,QA,Medium,In Progress,25-06-2025,26-06-2025,10,,"db, integration, deployment"
692,Write unit tests for backend,Frank,Frontend,Medium,Pending,16-09-2025,30-09-2025,16,,"feedback, setup, db"
693,Design login page,Alice,UI/UX,High,In Progress,09-06-2025,20-06-2025,15,,"alert, testing"
694,Update mobile app UI,Hannah,Frontend,Medium,In Progress,05-10-2025,13-10-2025,4,,design
695,Optimize database queries,Eve,QA,Medium,Pending,16-04-2025,23-04-2025,4,,feedback
696,Implement user authentication API,Carol,DevOps,High,Completed,27-06-2025,17-07-2025,6,6,"optimization, payment, deployment"
697,Collect user feedback,Eve,Mobile,High,In Progress,01-09-2025,08-09-2025,1,,"integration, deployment, testing"
698,Create marketing landing page,Alice,Mobile,High,Completed,16-08-2025,01-09-2025,6,6,"payment, deployment"
699,Analyze user activity data,Alice,UI/UX,Medium,In Progress,23-07-2025,07-08-2025,5,,"setup, deployment"
700,Implement search functionality,Eve,Mobile,Low,Pending,17-05-2025,26-05-2025,3,,alert
701,Improve page load performance,Grace,Mobile,Medium,Completed,18-07-2025,21-07-2025,7,3,"design, api"
702,Setup project database,Eve,Data,Low,In Progress,27-04-2025,07-05-2025,8,,db
703,Implement search functionality,Grace,QA,Medium,Pending,19-05-2025,09-06-2025,1,,"frontend, integration"
704,Create dashboard UI,Eve,UI/UX,Medium,Completed,15-09-2025,19-09-2025,15,4,"alert, db, integration"
705,Design login page,Carol,Data,Medium,Pending,23-04-2025,03-05-2025,13,,"integration, setup, optimization"
706,Implement search functionality,Grace,Backend,High,Pending,04-09-2025,17-09-2025,1,,"alert, payment"
707,Deploy application to staging,Eve,DevOps,Low,Pending,13-09-2025,23-09-2025,2,,optimization
708,Write unit tests for backend,Hannah,Data,Medium,Pending,22-06-2025,06-07-2025,3,,"design, integration, alert"
709,Setup project database,Bob,Data,High,Pending,30-09-2025,15-10-2025,12,,"payment, integration"
710,Fix bug in login module,Frank,Data,Medium,In Progress,04-10-2025,08-10-2025,14,,"backend, deployment, testing"
711,Optimize database queries,Hannah,DevOps,High,In Progress,21-07-2025,23-07-2025,1,,integration
712,Design login page,Grace,UI/UX,High,Pending,25-09-2025,04-10-2025,15,,testing
713,Deploy application to staging,Alice,Frontend,High,Completed,25-05-2025,03-06-2025,10,7,"frontend, testing"
714,Prepare deployment scripts,Alice,Mobile,Low,Pending,20-04-2025,21-04-2025,7,,"alert, testing"
715,Write unit tests for backend,Grace,Backend,Low,In Progress,06-09-2025,12-09-2025,7,,payment
716,Develop notification system,Hannah,Frontend,Medium,Completed,25-05-2025,06-06-2025,3,2,"alert, feedback"
717,Implement user authentication API,Carol,Frontend,Low,Pending,14-10-2025,20-10-2025,15,,"integration, db"
718,Implement user authentication API,Eve,Data,Low,In Progress,17-05-2025,20-05-2025,8,,setup
719,Create marketing landing page,Carol,UI/UX,Medium,Pending,21-04-2025,04-05-2025,15,,"optimization, deployment"
720,Create marketing landing page,David,UI/UX,High,In Progress,18-06-2025,24-06-2025,16,,"testing, feedback, deployment"
721,Setup project database,David,UI/UX,Medium,Completed,13-07-2025,28-07-2025,10,3,api
722,Create marketing landing page,Alice,Frontend,High,Completed,02-09-2025,10-09-2025,9,7,"payment, db, alert"
723,Write unit tests for backend,Alice,Mobile,High,In Progress,16-04-2025,17-04-2025,7,,"alert, testing, deployment"
724,Deploy application to staging,Bob,Backend,Medium,In Progress,06-05-2025,17-05-2025,8,,"db, testing, dashboard"
725,Implement search functionality,Eve,UI/UX,Medium,Pending,12-09-2025,26-09-2025,3,,"db, dashboard, alert"
726,Analyze user activity data,Frank,DevOps,Medium,Pending,12-08-2025,14-08-2025,3,,"payment, feedback"
727,Create dashboard UI,Grace,QA,Medium,In Progress,24-09-2025,29-09-2025,2,,"dashboard, db, optimization"
728,Improve page load performance,Alice,DevOps,Medium,In Progress,02-08-2025,13-08-2025,8,,db
729,Design login page,Hannah,Frontend,High,In Progress,17-05-2025,19-05-2025,7,,feedback
730,Optimize database queries,David,UI/UX,High,Pending,21-07-2025,25-07-2025,1,,"optimization, design"
731,Collect user feedback,Carol,Frontend,Medium,In Progress,28-08-2025,11-09-2025,1,,deployment
732,Develop notification system,Carol,DevOps,High,In Progress,09-09-2025,29-09-2025,8,,"optimization, setup"
733,Implement search functionality,Carol,QA,Low,In Progress,31-08-2025,13-09-2025,3,,"optimization, alert, api"
734,Deploy application to staging,Eve,UI/UX,High,In Progress,24-05-2025,10-06-2025,4,,"integration, testing, optimization"
735,Conduct code review,Alice,Backend,High,Pending,08-06-2025,18-06-2025,6,,"feedback, frontend, payment"
736,Design login page,David,Frontend,Medium,Pending,15-05-2025,24-05-2025,15,,"optimization, testing"
737,Integrate payment gateway,Frank,Data,High,In Progress,26-07-2025,09-08-2025,11,,"setup, frontend, backend"
738,Optimize database queries,Bob,QA,Low,Pending,14-09-2025,28-09-2025,7,,"alert, backend, frontend"
739,Fix bug in login module,Alice,Frontend,Medium,Pending,12-07-2025,15-07-2025,8,,setup
740,Prepare deployment scripts,David,UI/UX,High,Pending,30-07-2025,02-08-2025,10,,db
741,Collect user feedback,Bob,DevOps,Medium,Pending,05-07-2025,24-07-2025,16,,"setup, feedback, api"
742,Setup CI/CD pipeline,Hannah,UI/UX,Medium,Pending,23-09-2025,07-10-2025,6,,testing
743,Collect user feedback,Hannah,Data,Medium,Pending,04-08-2025,19-08-2025,12,,"design, setup"
744,Write unit tests for backend,Frank,UI/UX,Low,In Progress,14-09-2025,03-10-2025,3,,"db, design"
745,Create dashboard UI,Bob,DevOps,Low,In Progress,02-05-2025,10-05-2025,15,,"api, deployment, design"
746,Optimize database queries,Eve,UI/UX,Medium,Pending,16-06-2025,28-06-2025,15,,"integration, payment"
747,Update mobile app UI,Grace,Frontend,Low,In Progress,08-05-2025,28-05-2025,8,,"frontend, backend"
748,Fix bug in login module,Eve,DevOps,High,In Progress,14-05-2025,28-05-2025,7,,"optimization, api, integration"
749,Analyze user activity data,Bob,Data,Low,Completed,19-08-2025,27-08-2025,4,4,"feedback, api"
750,Setup CI/CD pipeline,Alice,Data,High,In Progress,20-08-2025,26-08-2025,10,,deployment
751,Analyze user activity data,Eve,DevOps,Medium,In Progress,15-06-2025,06-07-2025,3,,"api, testing"
752,Implement search functionality,David,Mobile,Low,In Progress,13-07-2025,03-08-2025,4,,setup
753,Improve page load performance,Bob,Backend,Low,Completed,28-08-2025,13-09-2025,8,5,"alert, dashboard"
754,Improve page load performance,Carol,Data,Medium,Pending,08-09-2025,16-09-2025,6,,"dashboard, design"
755,Conduct code review,Frank,Mobile,High,In Progress,02-09-2025,09-09-2025,5,,"dashboard, alert"
756,Implement search functionality,David,UI/UX,Medium,In Progress,21-05-2025,25-05-2025,4,,"dashboard, setup"
757,Fix bug in login module,Eve,DevOps,Low,Pending,21-07-2025,05-08-2025,5,,"integration, deployment, feedback"
758,Create dashboard UI,David,DevOps,Medium,In Progress,08-05-2025,26-05-2025,6,,"frontend, integration"
759,Collect user feedback,Carol,DevOps,Low,Pending,12-06-2025,21-06-2025,14,,"payment, deployment, optimization"
760,Optimize database queries,Frank,DevOps,Medium,In Progress,13-06-2025,03-07-2025,1,,"api, testing, db"
761,Deploy application to staging,Grace,DevOps,High,In Progress,09-05-2025,29-05-2025,11,,"payment, deployment"
762,Create marketing landing page,David,DevOps,Medium,Completed,30-04-2025,17-05-2025,6,3,"frontend, alert"
763,Prepare deployment scripts,Eve,Frontend,Low,Pending,06-08-2025,27-08-2025,12,,design
764,Deploy application to staging,Bob,Frontend,High,Pending,02-05-2025,13-05-2025,6,,"backend, payment, deployment"
765,Implement user authentication API,David,DevOps,Low,Pending,27-05-2025,11-06-2025,8,,"alert, frontend"
766,Analyze user activity data,Bob,DevOps,Medium,Pending,05-08-2025,26-08-2025,12,,"payment, setup"
767,Deploy application to staging,Hannah,DevOps,Low,In Progress,09-07-2025,30-07-2025,1,,setup
768,Write unit tests for backend,Eve,DevOps,Medium,In Progress,19-09-2025,01-10-2025,15,,deployment
769,Optimize database queries,Eve,Frontend,Medium,Completed,08-08-2025,18-08-2025,13,7,payment
770,Update mobile app UI,Frank,Frontend,Medium,Pending,20-06-2025,08-07-2025,5,,"deployment, dashboard"
771,Analyze user activity data,Frank,Frontend,Medium,Pending,02-10-2025,22-10-2025,3,,frontend
772,Collect user feedback,Carol,QA,High,Pending,01-10-2025,13-10-2025,15,,"payment, testing, deployment"
773,Collect user feedback,David,Data,Medium,Pending,08-10-2025,29-10-2025,6,,"db, deployment"
774,Prepare deployment scripts,Hannah,DevOps,Medium,In Progress,14-09-2025,21-09-2025,16,,"frontend, deployment, payment"
775,Integrate payment gateway,Frank,DevOps,Medium,Pending,16-06-2025,30-06-2025,3,,"dashboard, integration"
776,Implement search functionality,Alice,Data,High,Completed,07-09-2025,20-09-2025,3,2,"payment, alert"
777,Setup CI/CD pipeline,Alice,UI/UX,Low,In Progress,03-08-2025,05-08-2025,13,,"frontend, optimization"
778,Improve page load performance,David,QA,Medium,Completed,06-06-2025,11-06-2025,4,2,"dashboard, frontend, integration"
779,Integrate payment gateway,Carol,QA,Medium,Completed,16-04-2025,23-04-2025,3,3,"design, setup"
780,Create marketing landing page,Hannah,DevOps,High,Pending,27-07-2025,01-08-2025,14,,"db, design"
781,Enhance security for API,Eve,Mobile,Medium,Pending,06-05-2025,15-05-2025,11,,api
782,Analyze user activity data,Grace,QA,Low,In Progress,23-06-2025,03-07-2025,14,,"setup, frontend"
783,Prepare deployment scripts,Alice,Data,High,In Progress,17-09-2025,27-09-2025,6,,backend
784,Design login page,Eve,Mobile,Medium,Completed,11-06-2025,27-06-2025,13,5,"db, frontend"
785,Setup project database,Frank,Backend,Medium,Pending,03-09-2025,09-09-2025,4,,"payment, setup"
786,Integrate payment gateway,Bob,Data,Low,Pending,01-05-2025,19-05-2025,11,,dashboard
787,Fix bug in login module,Alice,UI/UX,Medium,Pending,02-08-2025,22-08-2025,10,,"design, frontend, db"
788,Setup CI/CD pipeline,Alice,DevOps,Medium,In Progress,31-05-2025,12-06-2025,16,,design
789,Enhance security for API,Eve,QA,High,In Progress,14-07-2025,22-07-2025,14,,"testing, setup"
790,Integrate payment gateway,Bob,Backend,Medium,Pending,09-08-2025,17-08-2025,15,,"design, payment, backend"
791,Optimize database queries,Carol,UI/UX,High,Completed,19-06-2025,05-07-2025,2,1,feedback
792,Implement user authentication API,Hannah,Backend,Low,In Progress,27-07-2025,07-08-2025,3,,optimization
793,Enhance security for API,Carol,Backend,Medium,In Progress,12-08-2025,25-08-2025,5,,deployment
794,Write unit tests for backend,Hannah,Frontend,Medium,In Progress,21-08-2025,22-08-2025,2,,"db, integration, dashboard"
795,Collect user feedback,Hannah,UI/UX,Low,In Progress,24-09-2025,15-10-2025,16,,"frontend, payment, optimization"
796,Improve page load performance,Grace,Frontend,High,Completed,20-07-2025,24-07-2025,9,4,"deployment, backend"
797,Develop notification system,Alice,Data,Medium,In Progress,12-07-2025,18-07-2025,9,,"dashboard, testing"
798,Deploy application to staging,Eve,QA,High,Completed,25-09-2025,08-10-2025,15,11,feedback
799,Optimize database queries,David,Backend,Medium,Pending,28-06-2025,30-06-2025,11,,"api, optimization, payment"
800,Create marketing landing page,Grace,Data,Medium,Pending,25-05-2025,05-06-2025,12,,"testing, feedback, frontend"
801,Implement search functionality,Bob,Frontend,Medium,Pending,11-06-2025,19-06-2025,13,,"setup, integration"
802,Fix bug in login module,Alice,Frontend,High,Pending,25-07-2025,07-08-2025,2,,optimization
803,Setup CI/CD pipeline,Grace,Backend,Medium,Completed,16-04-2025,23-04-2025,6,5,"alert, setup, backend"
804,Design login page,Bob,Frontend,Low,In Progress,30-09-2025,02-10-2025,4,,"frontend, setup"
